Food,Portion,Unit,Grains,Whole_Grains,Vegetables,Orange_Vegetables,Drkgreen_Vegetables,Starchy_vegetables,Other_Vegetables,Fruits,Milk,Meats,Soy,Drybeans_Peas,Oils,Solid_Fats,Added_Sugars,Alcohol,Calories,Saturated_Fats
Pineapple (raw),0.5,"cup, diced",0,0,0,0,0,0,0,0.49988,0,0,0,0,0,0,0,0,37.2,0.00775
Pineapple (canned in light syrup),0.5,"cup, chunks or crushed",0,0,0,0,0,0,0,0.50022,0,0,0,0,0.00168,0,26.72645,0,65.52,0.0126
Plum (raw),1,plum,0,0,0,0,0,0,0,0.39996,0,0,0,0,0,0,0,0,30.36,0.0132
Pomegranate (raw),0.5,pomegranate,0,0,0,0,0,0,0,0.49973,0,0,0,0,0,0,0,0,52.36,0.0308
Watermelon (raw),0.5,"cup, diced",0,0,0,0,0,0,0,0.50008,0,0,0,0,0,0,0,0,22.8,0.0152
Blueberries (raw),0.5,cup,0,0,0,0,0,0,0,0.50025,0,0,0,0,0,0,0,0,41.325,0.02175
Cranberry sauce,0.25,cup,0,0,0,0,0,0,0,0.25,0,0,0,0,0.00492,0,92.60225,0,104.5675,0.00693
Raspberries (raw),0.5,cup,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,31.98,0.0123
Strawberries (raw),0.5,"cup, whole",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,23.04,0.0072
Strawberries (cooked or canned in syrup),0.5,cup,0,0,0,0,0,0,0,0.50038,0,0,0,0,0.00423,0,88.28831,0,116.84,0.0127
Ambrosia,0.5,cup,0,0,0,0,0,0,0,0.50759,0,0.3,0,0,0.50094,0,14.33619,0,50,1.5
Fruit salad (no dressing),0.5,cup,0,0,0,0,0,0,0,0.49963,0,0,0,0,0,0,0,0,48.125,0.02625
Fruit cocktail (canned in heavy syrup),1,snack size package (4 oz),0,0,0,0,0,0,0,0.45539,0,0,0,0,0.00301,0,48.83791,0,82.49,0.0113
Fruit cocktail (canned in light syrup),1,snack size package (4 oz),0,0,0,0,0,0,0,0.46669,0,0,0,0,0.00201,0,29.95661,0,64.41,0.0113
Waldorf salad (apple salad in dressing),0.5,cup,0,0,0.08152,0,0,0,0.08152,0.42333,0,0.36031,0,0,2.04815,0.34524,0,0,121.245,1.37685
Guacamole,0.25,cup,0,0,0.00291,0,0,0,0.00291,0.25,0,0,0,0,0,0,0,0,91.4525,1.20577
Fruit soup,1,cup,0.34848,0,0,0,0,0,0,0.52514,0,0,0,0,0,0,40.16071,0,176.66,0.02178
Frozen fruit juice bar,1,bar,0,0,0,0,0,0,0,0.5587,0,0,0,0,0,0,0,0,60.68,0
Low-calorie frozen fruit juice bar,1,bar,0.0081,0,0,0,0,0,0,0.17334,0,0,0,0,0.00024,0,12.45479,0,23.76,0.0108
Sorbet (made with fruit),0.5,cup,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,82,0
100% Fruit juice blend (Juicy Juice),1,cup,0,0,0,0,0,0,0,1.0025,0,0,0,0,0,0,0,0,132.5,0.05
Apple cider,1,cup,0,0,0,0,0,0,0,0.99944,0,0,0,0,0,0,0,0,116.56,0.0496
Apple juice (100% juice),1,cup,0,0,0,0,0,0,0,0.99944,0,0,0,0,0,0,0,0,116.56,0.0496
Cranberry juice (100% juice),1,cup,0,0,0,0,0,0,0,1.00188,0,0,0,0,0,0,0,0,116.38,0.0253
Grape juice (100% juice),1,cup,0,0,0,0,0,0,0,1.00188,0,0,0,0,0,0,0,0,154.33,0.0759
Pineapple juice (100% juice),1,cup,0,0,0,0,0,0,0,1.0025,0,0,0,0,0,0,0,0,140,0.025
Prune juice (100% juice),1,cup,0,0,0,0,0,0,0,1.00096,0,0,0,0,0,0,0,0,181.76,0.00768
fruit smoothie (no milk),1,commercial smoothie (20 fl oz),0,0,0,0,0,0,0,2.29336,0,0,0,0,0,0,87.37695,0,326.12,0.1578
Peach nectar,1,cup,0,0,0,0,0,0,0,0.6723,0,0,0,0,0.00332,0,61.84192,0,134.46,0.00498
Vinegar,1,Tablespoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.016,0
"Baked potato, plain (don't eat peel)",1,"medium (2 per pound, raw)",0,0,1.03097,0,0,1.03097,0,0,0,0,0,0,0,0,0,0,120.52,0.0393
"Baked potato, plain (eat peel)",1,"medium (2 per pound, raw)",0,0,1.4186,0,0,1.4186,0,0,0,0,0,0,0,0,0,0,159.16,0.0692
Reduced fat potato chips (all flavors),1,cup,0,0,0.3528,0,0,0.3528,0,0,0,0,0,0,0.91027,0,0,0,94.2,0.832
Pringles potato chips,1,"cup, stacked (20 chips)",0,0,0.75852,0,0,0.75852,0,0,0,0,0,0,0,148.17456,0,0,239.94,4.0635
Baked Pringles potato chips,1,"cup, loose",0,0,0.49392,0,0,0.49392,0,0,0,0,0,0,0,45.73044,0,0,131.32,0.7364
Potato sticks,0.5,cup,0,0,0.33516,0,0,0.33516,0,0,0,0,0,0,1.43952,0,0,0,99.18,1.6872
Au gratin potatoes,0.5,cup,0.12322,0,0.5,0,0,0.5,0,0,0.3477,0,0,0,0,58.21596,0,0,153.72,2.9158
Scalloped potatoes,0.5,cup,0.1243,0,0.5,0,0,0.5,0,0,0.15933,0,0,0,0,25.8318,0,0,108.48,0.8927
"French fries, oven-baked",1,cup,0,0,0.36537,0,0,0.36537,0,0,0,0,0,0,0,0,0,0,113.43,0.7125
Seafood stuffed shells with tomato sauce,3,jumbo shells,2.55972,0,0.62499,0,0,0,0.6225,0,0.03486,2.3655,0,0,0,1.05576,0.15936,0,306.27,1.30725
Cheese tortellini with tomato sauce,1,cup,2.425,0,0.3325,0,0,0,0.3325,0,0.4375,0.415,0,0,0,12.005,0.155,0,332.5,6.05
Cheese tortellini with cream sauce,1,cup,2.7425,0,0.0375,0,0,0,0.0375,0,0.7375,0.4125,0,0,0,16.885,0,0,390,7.7375
"Cheese tortellini, no sauce",1,cup,4.08,0,0,0,0,0,0,0,0.693,0.1695,0.003,0,0.009,7.086,0.141,0,354,4.1535
Lo mein (meatless),1,cup,1.714,0,0.828,0.02,0,0,0.808,0,0,0,0,0,1.12356,0,0,0,234,1
Shrimp lo mein,1,cup,1.352,0,0.736,0,0,0,0.736,0,0,0.812,0,0,1.30133,0,1.17029,0,236,1.18
Macaroni and cheese (homemade type),0.5,cup,1.19799,0,0,0,0,0,0,0,0.56254,0,0.00122,0,0.00081,96.55605,1.02693,0,236.925,4.7628
Macaroni and cheese (from dry mix),0.5,cup,1.00084,0,0,0,0,0,0,0,0.19482,0,0.04871,0,0.00361,78.97086,0,0,197.685,2.3302
Macaroni and cheese with beef,0.5,cup,0.72414,0,0.00122,0,0,0,0.00122,0,0.27581,1.0121,0.00486,0,0.01674,42.94174,0,0,167.67,3.80295
Macaroni salad,0.5,cup,0.75491,0,0.15399,0,0,0,0.15399,0,0,0.01947,0,0,1.94641,0.43808,1.10763,0,169.92,1.40715
Macaroni salad with egg,0.5,cup,0.59207,0,0.12125,0,0,0,0.12125,0,0,0.34338,0,0,2.03491,8.23581,0.87747,0,178.77,1.9824
Pasta salad with vegetables,0.5,cup,0.64694,0,0.21417,0.05487,0,0,0.1593,0,0,0,0,0,0.94538,0,4.43052,0,116.82,0.7611
Pasta salad with meat and vegetables,0.5,cup,0.61508,0,0.15488,0.03983,0,0,0.11505,0,0,0.4071,0,0,0.68774,24.46848,3.27973,0,147.795,1.93815
Noodle pudding,0.5,cup,0.64584,0,0,0,0,0,0,0.13752,0,0.25848,0,0,0,3.70656,0.38448,0,148.32,1.1052
"Wrap sandwich (vegetables, rice)",1,wrap,4.87628,0,0.8686,0.14948,0,0,0.72316,0.29088,0,0,0,0.11312,0.02828,15.96608,0,0,674.68,8.41128
Chicken noodle soup,1,cup,0.4338,0,0.00241,0,0,0,0.00241,0,0.00482,0.21208,0.01205,0,0,13.20921,0.07834,0,74.71,0.5784
Chicken rice soup,1,cup,0.29402,0,0.01687,0.01687,0,0,0,0,0,0.11568,0.02892,0,0,14.14188,0,0,60.25,0.4338
Matzo ball soup,1,cup,0.72059,0,0,0,0,0,0,0,0,0.29402,0.00964,0,1.40262,2.91369,0,0,118.09,1.31586
Ramen noodle soup,0.5,"package, prepared",1.8278,0,0.01729,0,0,0,0.01729,0,0,0,0.01729,0,0,55.01925,0,0,170.43,2.8652
Won ton soup,1,cup,1.0604,0,0.10845,0,0.06025,0,0.0482,0,0,1.02425,0.00723,0,0.19548,21.71169,0,0,183.16,2.2654
Tortilla soup,1,cup,0.696,0,0.1728,0,0,0,0.1728,0.0216,0.2664,0,0,0,1.08107,53.0712,0,0,237.6,4.2
Grapefruit (raw),0.5,"medium (4"" across)",0,0,0,0,0,0,0,0.5568,0,0,0,0,0,0,0,0,40.96,0.0128
"Grapefruit (canned, light syrup)",0.5,cup,0,0,0,0,0,0,0,0.50038,0,0,0,0,0.00169,0,33.1107,0,76.2,0.0127
Orange (raw),1,"medium (2-5/8"" across)",0,0,0,0,0,0,0,0.71264,0,0,0,0,0,0,0,0,61.57,0.0131
Mandarin oranges (light syrup),0.5,cup,0,0,0,0,0,0,0,0.50022,0,0,0,0,0.00056,0,29.0407,0,76.86,0.0126
Tangerine (raw),1,"medium (2-3/8"" across)",0,0,0,0,0,0,0,0.43092,0,0,0,0,0,0,0,0,36.96,0.0168
Grapefruit juice (unsweetened),1,cup,0,0,0,0,0,0,0,1.00035,0,0,0,0,0,0,0,0,93.86,0.0247
Lemon juice,1,Tablespoon,0,0,0,0,0,0,0,0.06253,0,0,0,0,0,0,0,0,3.8125,0
Orange juice (100% juice),1,cup,0,0,0,0,0,0,0,1.00098,0,0,0,0,0,0,0,0,104.58,0.0498
Orange juice (sweetened),1,cup,0,0,0,0,0,0,0,1.0025,0,0,0,0,0,0,29.05403,0,130,0.025
"Dried fruit (apricot, apple, etc.)",0.25,cup,0,0,0,0,0,0,0,0.50014,0,0,0,0,0,0,0,0,85.68,0.0204
Apple chips,10,chips,0,0,0,0,0,0,0,0.38808,0,0,0,0,4.66466,0,0,0,101.2,0.34848
Banana chips,0.25,cup,0,0,0,0,0,0,0,0.50004,0,0,0,0,0,7.9542,3.41724,0,66.06,0.8748
Fig (dried),1,fig,0,0,0,0,0,0,0,0.19095,0,0,0,0,0,0,0,0,47.31,0.0266
Prunes,0.5,cup pitted,0,0,0,0,0,0,0,1.00045,0,0,0,0,0,0,0,0,204,0.0765
Apple (raw),1,medium  (about 3 per lb),0,0,0,0,0,0,0,1.30134,0,0,0,0,0,0,0,0,71.76,0.0414
Applesauce (unsweetened),0.5,cup,0,0,0,0,0,0,0,0.5002,0,0,0,0,0,0,0,0,52.46,0.0122
Applesauce (sweetened),0.5,cup,0,0,0,0,0,0,0,0.4998,0,0,0,0,0.00737,0,40.61875,0,96.9,0.03825
Baked apple (sweetened),1,apple,0,0,0,0,0,0,0,0.89946,0,0,0,0,0,0,76.51782,0,162.45,0.0342
Apricot (raw),1,apricot,0,0,0,0,0,0,0,0.2121,0,0,0,0,0,0,0,0,16.8,0.0105
"Apricot (canned, light syrup)",1,apricot half,0,0,0,0,0,0,0,0.08226,0,0,0,0,0,0,10.47115,0,14.94,0.0018
Avocado,0.25,"cup, cubes",0,0,0,0,0,0,0,0.25013,0,0,0,0,0,0,0,0,60,0.79875
Banana,1,"medium (7 - 8"" long)",0,0,0,0,0,0,0,0.8673,0,0,0,0,0,0,0,0,105.02,0.1298
Cantaloupe,0.5,"cup, balls",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,30.09,0.04425
Maraschino cherries,1,cherry,0,0,0,0,0,0,0,0.0267,0,0,0,0,0,0,4.97003,0,7.095,0.00172
Sweet cherries (raw),0.5,cup cherries with pits,0,0,0,0,0,0,0,0.40365,0,0,0,0,0,0,0,0,36.855,0.0234
Grapes (raw),0.5,cup,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,55.2,0.04
Guava (raw),1,guava,0,0,0,0,0,0,0,0.5454,0,0,0,0,0,0,0,0,45.9,0.153
Kiwifruit (raw),1,fruit,0,0,0,0,0,0,0,0.4294,0,0,0,0,0,0,0,0,46.36,0.0228
Honeydew melon (raw),1,medium wedge,0,0,0,0,0,0,0,0.735,0,0,0,0,0,0,0,0,45,0.05
Mango (raw),0.5,"cup, sliced",0,0,0,0,0,0,0,0.49995,0,0,0,0,0,0,0,0,53.625,0.05775
Bean burrito,1,medium burrito,1.68554,0,0.05396,0,0,0,0.05396,0,0,0,0,0.46576,0.45566,48.92184,0,0,295.36,2.1442
Bean and cheese burrito,1,Taco Bell burrito,1.9008,0,0.06138,0,0,0,0.06138,0,1.08702,0,0,0.5247,0.51304,190.88784,0,0,518.76,12.1572
Beef and cheese enchilada,1,enchilada,1.18545,0,0.2394,0,0,0,0.2394,0,0.378,0.4704,0,0,0.0021,86.3919,0,0,213.15,5.0715
Chicken enchilada,1,enchilada,1.64682,0,0.252,0,0,0,0.252,0,0,1.33434,0,0,0.00224,24.48306,0,0,202.86,1.3356
Bean enchilada,1,enchilada,1.24136,0,0.2242,0,0,0,0.22302,0,0,0,0,0.29146,0.28425,30.9042,0,0,179.36,1.2154
Cheese enchilada,1,enchilada,1.15566,0,0.23358,0,0,0,0.23358,0,0.73644,0,0,0,0.00227,114.7959,0,0,226.44,7.0992
Beef taco with cheese and lettuce,1,taco or tostada,1.19028,0,0.1638,0,0,0,0.1638,0,0.11778,0.9282,0,0,0,84.42252,0,0,219.96,3.939
"Beef taco (cheese, lettuce, tomato, salsa)",1,taco or tostada,1.19028,0,0.24983,0,0,0,0.24983,0,0.18177,0.75696,0,0,0,69.40377,0,0,172.64,3.8014
Chicken & cheese quesadilla,1,quesadilla,2.33,0,0.04,0,0,0,0.04,0,1.33,1.4,0,0,1,143,0,0,563.04,14.60776
Taquitoes,1,taquito,1.17504,0,0.04104,0,0,0,0.04104,0,0,1.01808,0,0,0,62.93376,0,0,190.8,2.9592
Chicken fajitas with veggies & guacamole,1,fajita,2.10512,0,0.67792,0,0,0,0.67792,0.1784,0,1.50748,0,0,0.00396,36.18621,0,0,361.26,2.5868
Beef fajitas with veggies,1,fajita,1.77508,0,0.48391,0,0,0,0.48391,0,0,2.99712,0,0,0.00297,85.8996,0,0,396.94,5.8426
"Cheese pizza, thin crust",1,slice (1/8 med pizza),1.31166,0,0.1827,0,0,0,0.1827,0,0.41013,0,0,0,0.15064,49.65219,0.90112,0,163.8,2.8035
"Cheese pizza, thick crust",1,slice (1/8 med pizza),2.04622,0,0.14271,0,0,0,0.142,0,0.32021,0,0,0,0.11739,53.82936,1.40792,0,203.06,2.6128
"Vegetable pizza, thin crust",1,slice (1/8 med pizza),1.1235,0,0.3241,0,0,0,0.3241,0,0.3514,0,0,0,0.12911,42.5565,0.77369,0,149.1,2.457
"Vegetable pizza, thick crust",1,slice (1/8 med pizza),1.8642,0,0.2691,0,0,0,0.2691,0,0.29172,0,0,0,0.10695,49.04874,1.28049,0,192.66,2.4258
"Meat pizza, thin crust",1,slice (1/8 med pizza),1.30569,0,0.18176,0,0,0,0.18176,0,0.40825,0.20235,0,0,0.15241,80.57151,0.95785,0,208.03,4.2813
"Meat pizza, thick crust",1,slice (1/8 med pizza),2.0856,0,0.14536,0,0,0,0.14536,0,0.32627,0.15721,0,0,0.12166,79.86663,1.47668,0,243.32,3.8552
"Meat & veggie pizza, thin crust",1,slice (1/8 med pizza),1.15024,0,0.3318,0,0,0,0.3318,0,0.36024,0.18486,0,0,0.1343,70.83693,0.83464,0,192.76,3.8315
"Meat & veggie pizza, thick crust",1,slice (1/8 med pizza),1.93314,0,0.27927,0,0,0,0.2784,0,0.30276,0.15138,0,0,0.11271,73.86822,1.37168,0,233.16,3.6192
Meat & cheese calzone or stromboli,0.5,calzone or stromboli,4.93112,0,0,0,0,0,0,0,1.13208,0.87768,0,0,0,315.54504,0,0,737.76,13.3984
Pizza rolls or bites,1,miniature roll,0.30296,0,0.03164,0,0,0,0.03164,0,0.07112,0.03472,0,0,0.02654,15.15906,0.24348,0,42,0.7826
Egg roll with vegetables,1,egg roll,0.5888,0,0.22656,0,0,0.0352,0.19072,0,0,0.14208,0,0,0.63872,21.81312,0,0,100.48,1.2288
Egg roll with meat,1,egg roll,0.57664,0,0.1536,0,0,0.03456,0.11904,0,0,0.39104,0,0,0.62507,20.17152,0,0,112.64,1.44
Fried wonton,1,wonton,0.33744,0,0.02071,0,0,0.01881,0.0019,0,0,0.22211,0,0,0,15.63795,0,0,53.96,0.8208
"Steamed dumpling, meat filled",1,dumpling,0.25493,0,0.03182,0,0,0,0.03182,0,0,0.60199,0,0,0.03799,0.06327,0.30671,0,41.44,0.2701
"Quiche (with meat, poultry or fish)",1,"piece (1/8 of 9"" quiche)",1.81824,0,0.00576,0,0,0,0.00576,0,0.29568,0.86016,0,0,0,371.07072,0,0,568.32,20.1792
Spinach quiche,1,"piece (1/8 of 9"" quiche)",0.96954,0,0.20163,0,0.16016,0,0.04147,0,0.33033,0.49621,0,0,0,220.01265,0,0,341.77,12.0549
Meat and cheese turnover (Hot Pockets),1,turnover,1.95936,0,0,0,0,0,0,0,0.22272,0.62208,0,0,0,195.60096,0,0,358.08,6.576
"Sausage, egg, and cheese croissant",1,croissant,1.75377,0,0,0,0,0,0,0,0.3021,1.9239,0,0,0.00707,304.27353,18.91771,0,539.01,17.0448
Meat lasagna,1,"piece (about 2-1/2"" x 4"")",1.2566,0,0.34196,0,0,0,0.3399,0,0.70452,0.6901,0,0,0,85.41378,6.86406,0,321.36,6.3036
Spinach lasagna (vegetarian),1,"piece (about 2-1/2"" x 4"")",1.30752,0,0.71505,0.03632,0.21111,0,0.46535,0,0.73321,0,0,0,0,66.62223,7.15794,0,279.21,4.9259
Meat ravioli with tomato sauce,0.5,cup,0.91239,0,0.19704,0,0,0,0.19704,0,0.02008,0.23218,0,0,0,9.00211,21.43911,0,104.165,0.7279
Cheese ravioli (no sauce),0.5,cup,1.2392,0,0.0032,0,0,0,0.0032,0,0.2352,0.2128,0,0,0,13.8644,0,0,185.2,4.896
Spaghetti with tomato sauce (meatless),1,cup,1.8724,0,0.5,0,0,0,0.5,0,0.00496,0,0,0,0.0259,18.57024,3.42634,0,250.48,0.4712
Spaghetti with meat sauce,1,cup,1.7484,0,0.35,0,0.01488,0,0.35,0,0.10664,1.08624,0.00248,0,0.01929,81.40104,4.19223,0,349.68,3.7944
Cheese manicotti with tomato sauce,2,manicotti,2.64836,0,0.34892,0,0,0,0.35178,0,1.36994,0.5005,0,0,0,18.16386,0.16588,0,457.6,11.2112
Fried rice (plain),0.5,cup,0.68309,0,0.16517,0,0,0.04233,0.12284,0,0,0.17098,0,0,0.7767,3.60801,0,0,125.33,0.7553
Chicken or pork fried rice,0.5,cup,0.86031,0,0.11286,0,0,0.02673,0.08613,0,0,0.44946,0,0,0.97614,4.94505,0,0,166.32,1.1088
Shrimp fried rice,0.5,cup,0.86427,0,0.11385,0,0,0.02673,0.08613,0,0,0.43362,0,0,0.98098,4.55301,0,0,161.37,0.9801
Nigiri sushi (with fish and veggies),1,piece,0.23608,0,0.04394,0.00572,0,0.02392,0.01456,0,0,0.11388,0,0,0,0,4.674,0,36.4,0.0234
Maki sushi (rolled sushi with veggies),1,piece,0.2418,0,0.03094,0.00182,0.00884,0,0.02054,0,0,0,0,0,0,0,4.10771,0,30.42,0.0156
Rice and beans,0.5,cup,0.66681,0,0,0,0,0,0,0,0,0,0,0.33341,0,44.75155,0,0,195.98,1.0277
Rice with tomato sauce,0.5,cup,0.99265,0,0.16524,0,0,0,0.16524,0,0,0,0,0,0,11.03341,0,0,126.36,0.30375
Stuffed pepper (with rice and meat),0.5,pepper with filling,0.35164,0,0.45147,0,0,0,0.44998,0,0.03874,1.64943,0,0,0,66.95613,1.8406,0,208.6,4.6786
Spanish rice,0.5,cup,0.66947,0,0.25,0,0,0,0.25,0,0,0,0,0,0.33858,0,2.44883,0,105.705,0.25515
Rice with vegetables,0.5,cup,0.8343,0,0.17819,0,0,0,0.17819,0,0.00309,0.01133,0.00618,0,0,40.6026,0.33483,0,139.05,0.9476
"Wrap sandwich (meat, vegetables, rice)",1,wrap,5.14837,0,0.51094,0,0.16021,0,0.35073,0.2598,0,2.91409,0,0.12124,0.03031,14.40158,0,0,818.37,8.85052
Lucky Charms cereal,1,single serving box,0.56347,0.49097,0,0,0,0,0,0,0,0,0,0,0.00277,0,47.91907,0,110.2,0.232
Raisin bran cereal,1,cup,1.17303,0.63074,0,0,0,0,0,0.17873,0,0,0,0,0,0,49.23759,0,194.59,0.3355
Rice Chex cereal,1,cup,1.07547,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9928,0,124.41,0.132
Rice Krispies cereal,1,cup,0.86242,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50279,0,93.6,0.0962
Special K cereal,1,cup,0.92628,0,0,0,0,0,0,0,0,0,0,0,0,0.01674,12.83367,0,117.49,0.1085
Corn Pops cereal,1,cup,0.49414,0,0,0,0,0,0,0,0,0,0,0,0.00069,0.01395,53.98002,0,117.8,0.0713
Frosted Flakes cereal,1,cup,0.87904,0,0,0,0,0,0,0,0,0,0,0,0,0,58.75772,0,150.47,0.0697
Total cereal,1,cup,0.96459,0.96459,0,0,0,0,0,0,0,0,0,0,0.00066,0,21.24609,0,106.92,0.1749
Trix cereal,1,cup,0.6042,0,0,0,0,0,0,0,0,0,0,0,0.00033,8.6805,50.83439,0,117.3,0.18
Shredded wheat cereal,1,cup spoon size biscuits,1.7635,1.7635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0.16
Wheaties cereal,1,cup,0.8562,0.8562,0,0,0,0,0,0,0,0,0,0,0.00013,5.049,15.98418,0,106.5,0.18
"Wheat bran, unprocessed",0.25,cup,0.51141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.32,0.09135
Beef burrito (no beans),1,small burrito,1.4784,0,0,0,0,0,0,0,0,1.6416,0,0,0.00256,76.88736,0,0,296.64,4.6848
Beef and bean burrito,1,medium burrito,1.35468,0,0.04402,0,0,0,0.04402,0,0,1.01672,0,0.37346,0.36573,70.37946,0,0,330.86,4.1038
Beef and cheese burrito (no beans),1,Taco Bell burrito,1.98198,0,0,0,0,0,0,0,1.69884,2.19384,0,0,0.00352,315.62784,0,0,689.04,21.5028
"Beef, bean, and cheese burrito",1,Taco Bell burrito,1.82325,0,0.05865,0,0,0,0.05865,0,1.04295,1.3668,0,0.5049,0.49243,267.4134,0,0,670.65,17.799
Beef soft taco,1,taco,1.19028,0,0.08096,0,0,0,0.08096,0,0.21436,0.8924,0,0,0.00266,77.56704,0,0,262.2,4.7012
Chicken soft taco,1,taco,1.16608,0,0.20224,0,0,0,0.20224,0,0.11776,2.29248,0,0,0.00199,34.7328,0,0,250.88,2.8544
"Bean taco (cheese, lettuce, tomato, salsa)",1,taco or tostada,1.19028,0,0.22176,0,0,0,0.22264,0,0.14432,0,0,0.20944,0.20357,47.19528,0,0,143.44,2.244
"Taco salad with beef, cheese, corn chips",1,salad (fast food order),1.09736,0,0.80736,0,0,0,0.80736,0,0.30856,1.66576,0,0,1.80805,84.91896,0,0,366.56,7.7256
Tamale (with meat or chicken),1,tamale,0.8232,0,0.0749,0,0,0,0.0749,0,0,0.5684,0,0,0,48.069,0,0,133,2.583
Cheese nachos,1,Taco Bell order,2.17194,0,0,0,0,0,0,0,1.41298,0,0,0,2.37605,176.60448,0,0,471.7,14.9672
Beef and bean nachos,1,Nachos Supreme,2.84328,0,0.2277,0,0,0,0.22968,0,0.70686,0.7326,0,0.25542,3.35984,119.82168,0,0,566.28,11.7018
Chicken nachos,1,order,1.60176,0,0,0,0,0,0,0,1.04152,3.8728,0,0,1.75258,130.26708,0,0,543.32,13.066
Beef chimachanga,1,chimichanga,1.01598,0,0.2419,0,0,0,0.2419,0,0.43424,0.6018,0,0,0.00184,195.2487,0,0,337.48,7.5402
Chicken chimichanga,1,chimichanga,1.76412,0,0.33123,0,0,0,0.33123,0,0.75396,1.39995,0,0,0.00325,309.76776,0,0,558.15,11.4741
Cheese quesadilla,1,quesadilla,2.33874,0,0.03692,0,0,0,0.03692,0,1.33622,0,0,0,1.00631,207.2277,0,0,498.42,13.774
Meat and cheese quesadilla,1,quesadilla,2.32944,0,0.0368,0,0,0,0.0368,0,1.33032,1.40024,0,0,1.003,231.9228,0,0,605.36,16.1736
Fried pork chop (eat lean only),1,medium,0,0,0,0,0,0,0,0,0,2.23448,0,0,0.12119,26.40168,0,0,153,2.7608
Breaded pork chop (eat lean & fat),1,medium,0.98496,0,0,0,0,0,0,0,0,2.18784,0.0048,0,1.02677,69.73344,3.68251,0,304.32,5.424
Breaded pork chop (eat lean only),1,medium,0.8488,0,0,0,0,0,0,0,0,1.8776,0.004,0,0.97867,29.412,3.17278,0,226.4,3.048
Roast pork tenderloin,4,ounces after cooking,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,195.048,2.40408
Smoked ham (lean),1,medium slice,0,0,0,0,0,0,0,0,0,1.48134,0,0,0,0,0,0,65.94,0.7728
Roast pork (lean),1,medium slice,0,0,0,0,0,0,0,0,0,1.4763,0,0,0,1.45152,0,0,87.36,1.4658
Canadian bacon,1,slice,0,0,0,0,0,0,0,0,0,0.81121,0,0,0,0,0,0,42.55,0.6532
Bacon,1,"medium slice, cooked",0,0,0,0,0,0,0,0,0,0.18112,0,0,0,25.79328,0,0,43.28,1.0992
Pork spareribs (eat lean & fat),1,large cut (3 ribs),0,0,0,0,0,0,0,0,0,3.66525,0,0,0,280.28835,0,0,533.25,14.9445
Pork spareribs (eat lean only),1,large cut (3 ribs),0,0,0,0,0,0,0,0,0,3.524,0,0,0,1.17,0,0,205,3.65
BBQ spareribs & sauce (eat lean & fat),1,medium rib,0.0368,0,0.0024,0,0,0,0.0024,0,0,0.7404,0,0,0.00027,60.7248,2.17804,0,124,3.224
BBQ spareribs & sauce (eat lean only),1,medium rib,0.0276,0,0.0018,0,0,0,0.0018,0,0,0.6756,0,0,0.0002,14.1345,1.63353,0,66.3,1.212
Fried pork rinds,1,"cup, pieces",0,0,0,0,0,0,0,0,0,0.85472,0,0,0,75.38112,0,0,174.4,3.6384
Lamb chop,1,large chop,0,0,0,0,0,0,0,0,0,3.62024,0,0,0,13.16952,0,0,223.6,4.004
Broiled veal chop,1,medium,0,0,0,0,0,0,0,0,0,3.65191,0,0,0,3.55775,0,0,230.05,5.58112
"Veal cutlet or steak, fried",1,cutlet,0,0,0,0,0,0,0,0,0,2.68191,0,0,0.08675,0,0,0,139.37,0.9779
Roasted veal,1,medium slice,0,0,0,0,0,0,0,0,0,1.44774,0,0,0,0.97146,0,0,96.6,1.79004
Roasted venison,4,ounces after cooking,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,215.46,2.19996
Battered fried chicken (eat skin),1,medium piece,0.68972,0,0,0,0,0,0,0,0.00774,2.00724,0,0,0,85.16322,0,0,249.4,3.7066
Baked chicken breast (eat skin),1,medium breast,0,0,0,0,0,0,0,0,0,3.45646,0,0,0,0,0,0,191.1,2.1266
Baked chicken breast (no skin),1,medium breast,0,0,0,0,0,0,0,0,0,3.03322,0,0,0,0,0,0,141.04,0.86
Fried chicken breast (no skin),1,medium breast,0,0,0,0,0,0,0,0,0,2.9197,0,0,0,22.36086,0,0,158.24,0.903
Battered fried chicken breast,1,medium breast,1.0668,0,0,0,0,0,0,0,0.0112,3.451,0,0,0,102.8664,0,0,365.4,4.256
"Battered fried chicken breast, no skin",1,medium breast,0.84348,0,0,0,0,0,0,0,0.00756,2.61684,0,0,0,81.75492,0,0,252.72,2.2356
Baked chicken dark meat (eat skin),1,medium dark meat quarter,0,0,0,0,0,0,0,0,0,3.84066,0,0,0,46.89846,0,0,262.2,4.1952
